SALESFORCE_ACCOUNT_ID,GEO,REGION,VERTICAL,FISCAL_QUARTER,MONTH,HEALTHY_STATUS,CONTRACT_START_DATE,CONTRACT_END_DATE,IMPLEMENTATION_STATUS_APPS,TOTAL_ACTIVE_ACV,TOTAL_UFR,UNIQUE_USERS,AVG_WAU_GLOBAL,CERTIFIED_USERS_DIGITAL,CERTIFIED_USERS_APPS,ACV_CS_APPS
0015700002EVdsdAAD,AMERICAS,AMERICAS East,TELCO,2023-05-01,2023-06-01,Unhealthy,"2021-06-30, 2021-10-13, 2022-06-01, 2022-03-01","2023-08-29, 2023-09-12, 2023-08-31",Not started,769777.0153846154,0,53,15,1,0,95004
00157000028bRaFAAU,AMERICAS,AMERICAS East,GENERAL RETAILER,2023-05-01,2023-05-01,Unhealthy,"2023-01-31, 2022-10-31",2025-01-30,Implemented,788333.4133333333,0,60,15.2,4,0,133333.33333333334
0015700002E7BRCAA3,AMERICAS,AMERICAS East,FOOD & BEVERAGES,2023-05-01,2023-07-01,Unhealthy,2021-03-05,2024-05-04,Implemented,250526.34105263153,0,12,3.5,0,0,90894.73684210527
00157000028bRaFAAU,AMERICAS,AMERICAS East,GENERAL RETAILER,2023-02-01,2023-02-01,Unhealthy,"2023-01-31, 2022-10-31",2025-01-30,Lived,788333.4133333333,0,47,11,4,0,133333.33333333334
0012o000035UPoSAAW,APJ,APJ ASIA,BFSI,2023-08-01,2023-10-01,Unhealthy,2023-10-31,2024-10-30,,566031.01,0,0,0,0,0,558742.75
0012o00002rewJIAAY,AMERICAS,AMERICAS West,"HARD,SOFT & SERVICES",2023-02-01,2023-02-01,Unhealthy,2021-03-31,2023-03-30,Implemented,106000,96000,7,2,0,0,46000
0012o00002rewJIAAY,AMERICAS,AMERICAS West,"HARD,SOFT & SERVICES",2023-05-01,2023-07-01,Unhealthy,2023-03-31,2024-03-30,Implemented,100800,0,8,2,0,0,44400
0012o00002rewJIAAY,AMERICAS,AMERICAS West,"HARD,SOFT & SERVICES",2023-02-01,2023-03-01,Unhealthy,"2021-03-31, 2023-03-31","2023-03-30, 2024-03-30",Implemented,126160,96000,7,1.2,0,0,54880
0015700002Hw86bAAB,AMERICAS,AMERICAS East,"HARD,SOFT & SERVICES",2023-11-01,2023-12-01,Unhealthy,2023-06-30,2024-06-29,Partially implemented,198000.00000000006,0,9,0.75,2,0,60648.719999999994
0015700001svWnvAAE,EMEA,EMEA UK,FASHION,2023-08-01,2023-09-01,Healthy,"2023-06-01, 2022-07-31","2024-07-31, 2024-07-30",Partially implemented,114680.23678025855,0,12,4.75,8,0,41463.952996474734
