MONTH,SALESFORCE_PROJECT_ID,PROJECT_ID,USER_ID,USER_TYPE,USER_POSITION,MODULE_NAME,ATTRIBUTES,INDUSTRIES,SESSIONS
2023-08-01,0015700002Hw86bAAB,31216,3443603644693818793,customer,Marketing / Content creation,Mappings,"[
  ""e_commerce"",
  ""brick_mortar""
]","[
  ""food_supplies""
]",2
2023-11-01,00157000020YJo5AAG,55680,1534968404048570742,customer,Analyst / Data science,Zoning Analysis,"[
  ""b2c"",
  ""brick_mortar"",
  ""multi_domain""
]","[
  ""food_supplies""
]",35
2023-07-01,00157000026Yg1OAAS,45184,16081010795390985369,customer,Technical / IT / Security,Journey Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",1
2023-01-01,001D0000010w8ETIAY,3454,18174176591861504267,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""fashion""
]",2
2023-08-01,00157000023oFnEAAU,18224,8195760051351196755,customer,Merchandising,Journey Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",4
2023-03-01,00157000027d3HbAAI,27488,15819863055323320060,customer,Technical / IT / Security,Session Replay,"[
  ""b2c""
]","[
  ""finance_insurance""
]",18
2023-05-01,001D000000qyDA7IAM,4964,10456810000616688356,customer,Technical / IT / Security,Page Comparator,,"[
  ""entertainment""
]",2
2023-06-01,00157000023oFnEAAU,18256,5710752769185188679,customer,Merchandising,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",20
2023-08-01,001D000001UZQ8hIAH,3669,7182880210250483158,customer,Data science,Journey Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""pure_player""
]","[
  ""fashion""
]",16
2023-08-01,00157000020YJo5AAG,55680,16844420016229275352,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""brick_mortar"",
  ""multi_domain""
]","[
  ""food_supplies""
]",19
2023-08-01,0012o00002zLycwAAC,31152,4431624862218646470,customer,Optimisation / Performance,Zoning Analysis,"[
  ""e_commerce""
]","[
  ""travel""
]",5
2023-08-01,00157000027AbEzAAK,57968,7964790459654387557,customer,Dev / IT / QA / Security,Mappings,"[
  ""b2c""
]","[
  ""cosmetics""
]",6
2023-04-01,00157000028bRaFAAU,28880,5165763490719099589,customer,Analytics,Zoning Analysis,"[
  ""e_commerce""
]","[
  ""consumer_equipment""
]",1
2023-02-01,001D000001j28lUIAQ,37312,8039978096972228352,customer,Technical / IT / Security,Log Visualizer,"[
  ""b2b2c"",
  ""lead_generation"",
  ""pure_player""
]","[
  ""software""
]",6
2023-11-01,001D000000xmDJ0IAM,37264,7138006528834623192,customer,Technical / IT / Security,Session Replay,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",26
2023-04-01,00157000023oFnEAAU,18224,10515600562253519160,customer,Merchandising,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",38
2023-03-01,001D00000180LhwIAE,3603,1672325504443826719,customer,Analytics,Alerts,"[
  ""b2c"",
  ""pure_player""
]","[
  ""finance_insurance""
]",1
2023-05-01,001D0000010w8ETIAY,4233,6450006462919998264,customer,Product management,Mappings,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""fashion""
]",4
2023-08-01,0015700001yNxwqAAC,2043,822406568296646221,customer,Optimisation / Performance,Mappings,"[
  ""e_commerce"",
  ""brick_mortar"",
  ""b2c"",
  ""b2b"",
  ""multi_country"",
  ""lead_generation""
]","[
  ""vehicle""
]",3
2023-11-01,0012o00002yZrG8AAK,41344,14015242043803853639,customer,Analytics,Mappings,"[
  ""b2b"",
  ""b2b2c"",
  ""b2c"",
  ""pure_player""
]","[
  ""personal_services""
]",12
2023-02-01,001D0000010w8ETIAY,4234,4932713175909655494,customer,Analytics,Homepage,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""fashion""
]",23
2023-02-01,0017T00000DjrXGQAZ,33536,6103605550428328639,customer,Analytics,Journey Analysis,,"[
  ""consumer_equipment""
]",2
2023-11-01,001D000000xmDJ0IAM,37280,5311066109337090662,customer,Analytics,Homepage,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",1
2023-07-01,001D0000010w8ETIAY,4233,6450006462919998264,customer,Product management,Page Comparator,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""fashion""
]",2
2023-11-01,00157000023oFnEAAU,18224,10515600562253519160,customer,Merchandising,Page Comparator,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",1
2023-12-01,00157000023oFnEAAU,18224,8195760051351196755,customer,Merchandising,Page Comparator,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",1
2023-02-01,00157000020YJnzAAG,5848,4944398052518260211,customer,Analytics,Mappings,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""travel""
]",5
2023-09-01,001D000000vhmaWIAQ,4594,17996487469637876885,customer,Product management,Funnel,"[
  ""b2b"",
  ""b2c"",
  ""lead_generation"",
  ""e_commerce"",
  ""pure_player""
]","[
  ""energy""
]",11
2023-10-01,0012o00002iOpoMAAS,61280,298529598605160864,customer,,Page Comparator,"[
  ""e_commerce""
]","[
  ""consumer_equipment""
]",16
2023-07-01,00157000027d3HbAAI,27488,16778041000915469153,customer,Analytics,Mappings,"[
  ""b2c""
]","[
  ""finance_insurance""
]",5
2023-10-01,0015700002G4DQhAAN,36896,9023707703672200557,customer,Analytics,Zoning Analysis,"[
  ""b2c""
]","[
  ""finance_insurance""
]",1
2023-04-01,00157000021SdS3AAK,5303,11418944769403398053,customer,Data science,Homepage,"[
  ""e_commerce"",
  ""multi_country"",
  ""multi_domain""
]","[
  ""fashion""
]",15
2023-10-01,0012o00002izOxrAAE,46944,10006703892912890845,customer,Technical / IT / Security,Session Replay,"[
  ""b2c""
]","[
  ""entertainment""
]",13
2023-12-01,001D000000xmDJ0IAM,37248,10489023516204243463,customer,Data science,Journey Analysis,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",10
2023-03-01,0015700002By5jRAAR,4754,11134063628880770556,customer,Product management,Workspace,"[
  ""b2c""
]","[
  ""finance_insurance""
]",32
2023-09-01,00157000023lXzrAAE,21520,4066257763928621134,customer,UI / UX Design,Journey Analysis,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""travel""
]",15
2023-10-01,0015700002I8B9hAAF,47040,1805842480125284039,customer,Analytics,Zoning Analysis,"[
  ""b2c"",
  ""brick_mortar"",
  ""e_commerce""
]","[
  ""cosmetics""
]",3
2023-05-01,0015700002E7BRCAA3,5277,9084553174102194162,customer,Analytics,Zoning Analysis,"[
  ""b2c""
]","[
  ""food_supplies""
]",25
2023-09-01,0012o00002izOxrAAE,46944,10006703892912890845,customer,Technical / IT / Security,Log Visualizer,"[
  ""b2c""
]","[
  ""entertainment""
]",31
2023-04-01,0015700002EVdsdAAD,45248,4996697325387108229,customer,Technical / IT / Security,Log Visualizer,"[
  ""b2c""
]","[
  ""telecom""
]",15
2023-09-01,00157000023lXzrAAE,21520,4066257763928621134,customer,UI / UX Design,Homepage,"[
  ""b2c"",
  ""e_commerce"",
  ""multi_country""
]","[
  ""travel""
]",11
2023-12-01,00157000027A7ewAAC,62320,11486242456097095426,customer,Marketing,Session Replay,"[
  ""b2c"",
  ""b2b""
]","[
  ""travel""
]",9
2023-09-01,0017T00000547ZjQAI,29824,6967152484757626624,customer,UI / UX Design,Zoning Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""marketplace""
]",9
2023-03-01,0015700001u7XmsAAE,3247,12259059070694124924,customer,Others,Page Comparator,"[
  ""b2c"",
  ""pure_player"",
  ""e_commerce""
]","[
  ""consumer_equipment""
]",2
2023-10-01,0015700001yNxwqAAC,2043,822406568296646221,customer,Optimisation / Performance,Journey Analysis,"[
  ""e_commerce"",
  ""brick_mortar"",
  ""b2c"",
  ""b2b"",
  ""multi_country"",
  ""lead_generation""
]","[
  ""vehicle""
]",1
2023-06-01,0017T00000AjokmQAB,45312,14048613021636208795,customer,Others,Session Replay,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""fashion""
]",12
2023-01-01,001D000001LgtF0IAJ,4960,7548933413404754625,customer,Analytics,Homepage,,"[
  ""energy""
]",3
2023-07-01,001D0000017K5AYIA0,18304,16770216181290712407,customer,Merchandising,Zoning Analysis,,"[
  ""fashion""
]",4
2023-06-01,0015700002By5jRAAR,4754,15739029056534277128,customer,Analytics,Zoning Analysis,"[
  ""b2c""
]","[
  ""finance_insurance""
]",52
2023-01-01,0017T00000547ZjQAI,29824,9868722001979271063,customer,Analytics,Journey Analysis,"[
  ""b2c"",
  ""e_commerce""
]","[
  ""consumer_equipment""
]",8
2023-04-01,0015700002G4DQhAAN,36896,13881351435812012401,customer,Analytics,Session Replay,"[
  ""b2c""
]","[
  ""finance_insurance""
]",13
2023-07-01,0015700002G4DQhAAN,36896,13881351435812012401,customer,Analytics,Session Replay,"[
  ""b2c""
]","[
  ""finance_insurance""
]",49
2023-06-01,001D000000xmDJ0IAM,37248,10489023516204243463,customer,Data science,Zoning Analysis,"[
  ""b2b2c"",
  ""b2b""
]","[
  ""food_supplies""
]",10
2023-08-01,001D000000qyDA7IAM,4940,11056827072935472162,customer,Analytics,Zoning Analysis,,"[
  ""entertainment""
]",1
