transaction_month,transaction_week,total_transactions,accepted_transactions,acceptance_rate_pct,total_volume_usd
2018-12-01 00:00:00+00:00,2018-12-31 00:00:00+00:00,180,132,73.33,546676.86
2019-01-01 00:00:00+00:00,2019-01-07 00:00:00+00:00,210,131,62.38,1778410.83
2019-01-01 00:00:00+00:00,2019-01-14 00:00:00+00:00,210,153,72.86,3026384.91
2019-01-01 00:00:00+00:00,2019-01-21 00:00:00+00:00,210,140,66.67,4206190.25
2019-01-01 00:00:00+00:00,2019-01-28 00:00:00+00:00,210,154,73.33,5229597.16
2019-02-01 00:00:00+00:00,2019-02-04 00:00:00+00:00,210,145,69.05,6165809.81
2019-02-01 00:00:00+00:00,2019-02-11 00:00:00+00:00,210,148,70.48,7402612.75
2019-02-01 00:00:00+00:00,2019-02-18 00:00:00+00:00,210,146,69.52,8692644.68
2019-02-01 00:00:00+00:00,2019-02-25 00:00:00+00:00,210,144,68.57,9991402.87
2019-03-01 00:00:00+00:00,2019-03-04 00:00:00+00:00,210,152,72.38,11288873.45
2019-03-01 00:00:00+00:00,2019-03-11 00:00:00+00:00,210,139,66.19,12534429.83
2019-03-01 00:00:00+00:00,2019-03-18 00:00:00+00:00,210,139,66.19,13771816.51
2019-03-01 00:00:00+00:00,2019-03-25 00:00:00+00:00,210,154,73.33,15215728.35
2019-04-01 00:00:00+00:00,2019-04-01 00:00:00+00:00,210,134,63.81,16612664.65
2019-04-01 00:00:00+00:00,2019-04-08 00:00:00+00:00,210,152,72.38,17679823.82
2019-04-01 00:00:00+00:00,2019-04-15 00:00:00+00:00,210,149,70.95,19261254.35
2019-04-01 00:00:00+00:00,2019-04-22 00:00:00+00:00,210,140,66.67,20978048.45
2019-04-01 00:00:00+00:00,2019-04-29 00:00:00+00:00,210,145,69.05,22550887.08
2019-05-01 00:00:00+00:00,2019-05-06 00:00:00+00:00,210,136,64.76,23992768.25
2019-05-01 00:00:00+00:00,2019-05-13 00:00:00+00:00,210,151,71.90,25517649.63
2019-05-01 00:00:00+00:00,2019-05-20 00:00:00+00:00,210,155,73.81,27125577.81
2019-05-01 00:00:00+00:00,2019-05-27 00:00:00+00:00,210,139,66.19,28645930.87
2019-06-01 00:00:00+00:00,2019-06-03 00:00:00+00:00,210,154,73.33,29767037.29
2019-06-01 00:00:00+00:00,2019-06-10 00:00:00+00:00,210,157,74.76,31238188.29
2019-06-01 00:00:00+00:00,2019-06-17 00:00:00+00:00,210,146,69.52,33076157.32
2019-06-01 00:00:00+00:00,2019-06-24 00:00:00+00:00,210,142,67.62,33974945.06
